id,title,year,genre,country,age,race,gender
tt2771200,Beauty and the Beast,2017,"Adventure, Family, Fantasy",United States,31,Man,middle eastern
tt2771200,Beauty and the Beast,2017,"Adventure, Family, Fantasy",United States,31,Man,white
tt2771200,Beauty and the Beast,2017,"Adventure, Family, Fantasy",United States,24,Man,white
tt2771200,Beauty and the Beast,2017,"Adventure, Family, Fantasy",United States,32,Man,white
tt2771200,Beauty and the Beast,2017,"Adventure, Family, Fantasy",United States,25,Man,asian
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,"Action, Adventure, Fantasy",United States,42,Man,white
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,"Action, Adventure, Fantasy",United States,29,Man,white
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,"Action, Adventure, Fantasy",United States,30,Man,white
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,"Action, Adventure, Fantasy",United States,26,Woman,white
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,"Action, Adventure, Fantasy",United States,38,Man,middle eastern
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,"Action, Adventure, Fantasy",United States,36,Man,latino hispanic
tt0499549,Avatar,2009,"Action, Adventure, Fantasy",United States,29,Man,black
tt3606756,Incredibles 2,2018,"Animation, Action, Adventure","United States, Japan",28,Man,white
tt3606756,Incredibles 2,2018,"Animation, Action, Adventure","United States, Japan",35,Man,white
tt3606756,Incredibles 2,2018,"Animation, Action, Adventure","United States, Japan",27,Man,black
tt3606756,Incredibles 2,2018,"Animation, Action, Adventure","United States, Japan",26,Man,white
tt2395427,Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",United States,38,Man,latino hispanic
tt2395427,Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",United States,48,Man,middle eastern
tt2395427,Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",United States,27,Man,white
tt2395427,Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",United States,28,Man,white
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,"Action, Adventure, Fantasy","United States, United Kingdom",41,Man,middle eastern
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,"Action, Adventure, Fantasy","United States, United Kingdom",31,Man,white
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,"Action, Adventure, Fantasy","United States, United Kingdom",33,Man,black
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,"Action, Adventure, Fantasy","United States, United Kingdom",30,Woman,middle eastern
tt6139732,Aladdin,2019,"Adventure, Comedy, Family","United States, United Kingdom",32,Man,latino hispanic
tt6139732,Aladdin,2019,"Adventure, Comedy, Family","United States, United Kingdom",31,Man,middle eastern
tt6139732,Aladdin,2019,"Adventure, Comedy, Family","United States, United Kingdom",35,Man,black
tt0120338,Titanic,1997,"Drama, Romance","United States, Mexico",34,Woman,white
